x,y,additional_three,additional_two,additional_one,duration_m,parallel_processes
167,125,0.0,0.0,0.0,1179,2
109,173,0.0,0.0,0.0,1005,2
94,271,1.0,0.0,0.0,13459,2
69,209,0.0,0.0,0.0,1631,2
326,240,0.0,0.0,0.0,16832,5
311,114,0.0,0.0,1.0,22745,4
156,178,0.0,0.0,0.0,4701,6
146,282,1.0,0.0,0.0,39242,4
151,314,0.0,0.0,1.0,26920,5
154,196,0.0,0.0,0.0,10406,7
226,171,0.0,0.0,0.0,16152,6
98,333,0.0,0.0,0.0,3261,8
235,137,0.0,0.0,0.0,10599,8
180,121,0.0,1.0,0.0,38320,5
230,256,0.0,1.0,0.0,58188,6
317,133,0.0,0.0,0.0,18396,6
117,212,0.0,0.0,0.0,7709,10
314,50,0.0,1.0,0.0,32243,8
155,264,0.0,0.0,0.0,14582,8
205,143,0.0,0.0,0.0,12314,8
77,112,0.0,0.0,0.0,4709,9
275,275,0.0,0.0,0.0,11611,4
122,70,0.0,0.0,0.0,2956,4
77,68,0.0,0.0,0.0,2547,5
324,79,0.0,0.0,1.0,17997,3
111,180,0.0,0.0,0.0,6630,4
184,303,0.0,0.0,0.0,14310,4
161,310,0.0,0.0,0.0,4403,6
307,310,1.0,0.0,0.0,81994,2
181,340,1.0,0.0,0.0,66627,3
330,324,0.0,0.0,0.0,32748,5
90,259,0.0,0.0,0.0,7037,9
218,77,0.0,0.0,1.0,14433,9
245,123,0.0,0.0,0.0,12470,8
232,273,0.0,0.0,0.0,20216,8
72,91,0.0,0.0,0.0,3275,9
258,324,0.0,0.0,1.0,44091,9
335,263,0.0,0.0,0.0,4747,1
346,342,0.0,1.0,0.0,17407,1
226,56,0.0,0.0,0.0,1491,2
300,51,1.0,0.0,0.0,16035,1
187,155,0.0,0.0,0.0,3129,3
141,186,0.0,0.0,0.0,4276,3
252,102,0.0,0.0,1.0,5690,3
67,317,0.0,0.0,0.0,6468,6
104,241,0.0,0.0,0.0,5640,6
209,283,0.0,0.0,0.0,8895,5
319,139,0.0,0.0,0.0,11207,5
328,317,0.0,0.0,0.0,15460,5
246,69,0.0,0.0,0.0,818,1
204,235,0.0,1.0,0.0,33496,2
248,321,0.0,0.0,0.0,15214,4
213,313,1.0,0.0,0.0,43685,3
332,138,0.0,0.0,1.0,23868,4
268,53,0.0,0.0,0.0,3417,5
76,214,0.0,0.0,0.0,1636,2
152,111,1.0,0.0,0.0,15191,3
102,53,0.0,0.0,0.0,520,2
98,143,1.0,0.0,0.0,18867,2
173,300,1.0,0.0,0.0,58810,1
143,260,0.0,0.0,0.0,7723,7
93,212,0.0,1.0,0.0,34523,4
344,246,0.0,0.0,0.0,26853,6
110,282,0.0,0.0,1.0,25011,6
202,214,0.0,0.0,0.0,10023,7
208,120,1.0,0.0,0.0,43935,7
83,64,0.0,1.0,0.0,14633,6
243,285,0.0,0.0,1.0,36051,4
303,252,0.0,0.0,1.0,36612,4
53,300,0.0,0.0,0.0,3095,5
214,178,0.0,0.0,0.0,12577,7
349,305,0.0,0.0,0.0,36981,5
244,225,0.0,0.0,0.0,17319,6
273,206,0.0,1.0,0.0,78094,3
168,257,0.0,0.0,0.0,22655,14
88,255,0.0,0.0,0.0,8962,17
270,116,0.0,0.0,0.0,18719,16
232,287,0.0,0.0,0.0,42679,11
259,241,0.0,0.0,1.0,66670,8
88,218,1.0,0.0,0.0,97750,7
223,220,0.0,0.0,0.0,41783,11
57,224,0.0,0.0,0.0,5828,18
246,186,0.0,0.0,0.0,28964,14
282,279,0.0,0.0,0.0,41444,13
131,214,0.0,0.0,0.0,24417,15
152,174,0.0,0.0,0.0,19172,16
151,169,0.0,0.0,0.0,18677,17
184,104,1.0,0.0,0.0,92760,15
281,169,0.0,0.0,0.0,34835,17
309,310,0.0,0.0,0.0,50493,17
180,59,0.0,0.0,0.0,8680,18
86,198,0.0,0.0,0.0,919,1
74,345,0.0,0.0,1.0,9412,2
135,50,0.0,0.0,0.0,779,2
95,181,0.0,0.0,0.0,1991,3
105,336,0.0,0.0,0.0,4188,3
68,137,0.0,0.0,0.0,392,1
305,193,0.0,0.0,0.0,10153,1
165,207,0.0,0.0,0.0,4820,4
160,167,0.0,0.0,0.0,8457,3
261,85,0.0,0.0,0.0,8236,4
145,97,0.0,0.0,0.0,1519,3
349,254,0.0,0.0,0.0,16790,6
224,198,0.0,0.0,1.0,21592,6
73,264,0.0,0.0,0.0,5796,6
159,148,0.0,1.0,0.0,33128,6
148,178,1.0,0.0,0.0,47544,5
281,188,0.0,1.0,0.0,38523,6
190,85,0.0,0.0,0.0,1712,3
161,111,0.0,0.0,0.0,3026,4
294,247,0.0,0.0,0.0,15635,5
320,63,1.0,0.0,0.0,24997,3
93,294,0.0,0.0,1.0,14395,3
344,220,0.0,0.0,0.0,15064,6
319,329,0.0,0.0,0.0,21201,4
146,244,0.0,0.0,0.0,13001,7
259,290,0.0,0.0,0.0,23781,5
201,126,1.0,0.0,0.0,31382,5
99,193,0.0,0.0,0.0,12758,7
76,211,0.0,0.0,0.0,14909,7
295,297,0.0,0.0,0.0,6056,2
212,161,0.0,0.0,0.0,5453,2
338,183,0.0,0.0,0.0,4735,6
274,225,0.0,0.0,0.0,26517,4
270,255,0.0,0.0,0.0,24189,5
113,291,0.0,0.0,0.0,5971,8
120,248,0.0,0.0,0.0,8401,8
158,292,1.0,0.0,0.0,38318,6
281,174,0.0,0.0,0.0,23535,6
189,288,0.0,0.0,0.0,18848,7
57,265,0.0,0.0,0.0,1592,3
236,339,0.0,0.0,1.0,37903,5
171,280,0.0,0.0,0.0,10300,8
230,292,0.0,0.0,0.0,16668,6
278,270,0.0,0.0,1.0,40265,5
280,147,0.0,0.0,1.0,38226,6
148,247,1.0,0.0,0.0,50713,6
145,168,0.0,0.0,0.0,10047,7
95,238,0.0,0.0,0.0,1168,1
322,225,0.0,0.0,0.0,22797,5
181,80,0.0,1.0,0.0,33653,5
279,252,1.0,0.0,0.0,69159,3
114,283,0.0,0.0,0.0,6633,10
150,287,0.0,1.0,0.0,59334,5
174,108,0.0,0.0,0.0,8398,9
100,147,1.0,0.0,0.0,58596,7
206,151,0.0,0.0,0.0,15821,8
80,255,0.0,0.0,0.0,9829,9
222,54,0.0,0.0,0.0,5907,10
164,194,0.0,0.0,0.0,1972,2
324,329,0.0,0.0,0.0,11581,2
270,143,0.0,0.0,0.0,6476,3
247,67,0.0,0.0,0.0,2414,4
191,57,0.0,0.0,0.0,4510,4
176,279,0.0,0.0,0.0,5894,6
279,301,0.0,1.0,0.0,29598,3
